248	0	0	0	0	1	0	0	2	0	0	1	0	3	4	20	2	3	4	29	
1	302	12	14	10	9	6	1	1	0	0	7	8	5	10	1	0	0	1	1	
1	36	219	51	17	19	8	2	3	0	0	6	2	10	8	2	0	0	4	3	
0	11	30	265	25	0	22	1	1	0	0	2	32	1	2	0	0	0	0	0	
0	17	12	22	277	0	18	2	2	0	0	3	19	8	3	0	0	0	0	0	
0	67	21	7	3	266	3	1	3	0	0	4	3	7	4	0	0	0	1	0	
0	6	4	16	11	2	311	13	9	0	1	0	5	0	3	0	0	0	0	1	
0	3	1	1	0	0	18	331	17	0	0	1	13	0	4	0	0	0	5	1	
0	1	0	1	0	0	2	20	369	0	0	0	2	1	0	0	1	0	0	0	
0	0	1	1	0	0	8	1	2	354	13	0	1	3	4	3	1	0	4	1	
2	0	0	0	0	0	6	1	3	3	378	0	0	1	0	1	3	0	1	0	
0	2	1	3	4	1	4	0	0	1	1	352	4	3	3	0	10	0	5	1	
3	28	3	23	9	1	14	8	5	0	0	17	264	10	7	0	1	0	0	0	
2	8	0	1	0	0	7	4	5	0	0	0	7	333	7	6	4	3	4	2	
0	9	0	1	0	3	2	0	1	0	1	3	7	6	342	2	2	1	11	1	
11	4	0	1	0	1	2	0	0	0	0	0	0	2	1	351	1	1	2	21	
1	1	0	0	0	0	2	2	1	0	0	3	0	6	4	1	303	3	21	16	
14	2	0	1	0	0	1	2	0	2	0	1	0	1	0	6	5	321	16	4	
6	1	0	0	1	0	1	1	0	0	0	5	1	12	7	1	66	4	189	15	
36	2	0	0	0	0	0	0	1	1	0	1	0	3	6	23	11	4	8	156	
